filename,property,depth,filetype,scalar,description,units
cec7_5_cm_l.tif,cec7,5_cm,95% low prediction interval,10,Cation Exchange Capacity (pH 7),meq/100g
cec7_5_cm_p.tif,cec7,5_cm,prediction,10,Cation Exchange Capacity (pH 7),meq/100g
cec7_5_cm_rpi.tif,cec7,5_cm,relative prediction interval,100,Cation Exchange Capacity (pH 7),meq/100g
cec7_60_cm_h.tif,cec7,60_cm,95% high prediction interval,10,Cation Exchange Capacity (pH 7),meq/100g
cec7_60_cm_l.tif,cec7,60_cm,95% low prediction interval,10,Cation Exchange Capacity (pH 7),meq/100g
cec7_60_cm_p.tif,cec7,60_cm,prediction,10,Cation Exchange Capacity (pH 7),meq/100g
cec7_60_cm_rpi.tif,cec7,60_cm,relative prediction interval,100,Cation Exchange Capacity (pH 7),meq/100g
claytotal_0_cm_h.tif,claytotal,0_cm,95% high prediction interval,1,Clay content in percent,percent mass
claytotal_0_cm_l.tif,claytotal,0_cm,95% low prediction interval,1,Clay content in percent,percent mass
claytotal_0_cm_p.tif,claytotal,0_cm,prediction,1,Clay content in percent,percent mass
claytotal_0_cm_rpi.tif,claytotal,0_cm,relative prediction interval,100,Clay content in percent,percent mass
claytotal_100_cm_h.tif,claytotal,100_cm,95% high prediction interval,1,Clay content in percent,percent mass
claytotal_100_cm_l.tif,claytotal,100_cm,95% low prediction interval,1,Clay content in percent,percent mass
claytotal_100_cm_p.tif,claytotal,100_cm,prediction,1,Clay content in percent,percent mass
claytotal_100_cm_rpi.tif,claytotal,100_cm,relative prediction interval,100,Clay content in percent,percent mass
claytotal_15_cm_h.tif,claytotal,15_cm,95% high prediction interval,1,Clay content in percent,percent mass
claytotal_15_cm_l.tif,claytotal,15_cm,95% low prediction interval,1,Clay content in percent,percent mass
claytotal_15_cm_p.tif,claytotal,15_cm,prediction,1,Clay content in percent,percent mass
claytotal_15_cm_rpi.tif,claytotal,15_cm,relative prediction interval,100,Clay content in percent,percent mass
claytotal_150_cm_h.tif,claytotal,150_cm,95% high prediction interval,1,Clay content in percent,percent mass
claytotal_150_cm_l.tif,claytotal,150_cm,95% low prediction interval,1,Clay content in percent,percent mass
claytotal_150_cm_p.tif,claytotal,150_cm,prediction,1,Clay content in percent,percent mass
claytotal_150_cm_rpi.tif,claytotal,150_cm,relative prediction interval,100,Clay content in percent,percent mass
claytotal_30_cm_h.tif,claytotal,30_cm,95% high prediction interval,1,Clay content in percent,percent mass
claytotal_30_cm_l.tif,claytotal,30_cm,95% low prediction interval,1,Clay content in percent,percent mass
claytotal_30_cm_p.tif,claytotal,30_cm,prediction,1,Clay content in percent,percent mass
claytotal_30_cm_rpi.tif,claytotal,30_cm,relative prediction interval,100,Clay content in percent,percent mass
claytotal_5_cm_h.tif,claytotal,5_cm,95% high prediction interval,1,Clay content in percent,percent mass
claytotal_5_cm_l.tif,claytotal,5_cm,95% low prediction interval,1,Clay content in percent,percent mass
claytotal_5_cm_p.tif,claytotal,5_cm,prediction,1,Clay content in percent,percent mass
claytotal_5_cm_rpi.tif,claytotal,5_cm,relative prediction interval,100,Clay content in percent,percent mass
claytotal_60_cm_h.tif,claytotal,60_cm,95% high prediction interval,1,Clay content in percent,percent mass
claytotal_60_cm_l.tif,claytotal,60_cm,95% low prediction interval,1,Clay content in percent,percent mass
claytotal_60_cm_p.tif,claytotal,60_cm,prediction,1,Clay content in percent,percent mass
claytotal_60_cm_rpi.tif,claytotal,60_cm,relative prediction interval,100,Clay content in percent,percent mass
dbovendry_0_cm_h.tif,dbovendry,0_cm,95% high prediction interval,100,Bulk density (oven dry),g cm-3
dbovendry_0_cm_l.tif,dbovendry,0_cm,95% low prediction interval,100,Bulk density (oven dry),g cm-3
dbovendry_0_cm_p.tif,dbovendry,0_cm,prediction,100,Bulk density (oven dry),g cm-3
dbovendry_0_cm_rpi.tif,dbovendry,0_cm,relative prediction interval,100,Bulk density (oven dry),g cm-3
dbovendry_100_cm_h.tif,dbovendry,100_cm,95% high prediction interval,100,Bulk density (oven dry),g cm-3
dbovendry_100_cm_l.tif,dbovendry,100_cm,95% low prediction interval,100,Bulk density (oven dry),g cm-3
dbovendry_100_cm_p.tif,dbovendry,100_cm,prediction,100,Bulk density (oven dry),g cm-3
dbovendry_100_cm_rpi.tif,dbovendry,100_cm,relative prediction interval,100,Bulk density (oven dry),g cm-3
dbovendry_15_cm_h.tif,dbovendry,15_cm,95% high prediction interval,100,Bulk density (oven dry),g cm-3
dbovendry_15_cm_l.tif,dbovendry,15_cm,95% low prediction interval,100,Bulk density (oven dry),g cm-3
dbovendry_15_cm_p.tif,dbovendry,15_cm,prediction,100,Bulk density (oven dry),g cm-3
dbovendry_15_cm_rpi.tif,dbovendry,15_cm,relative prediction interval,100,Bulk density (oven dry),g cm-3
dbovendry_150_cm_h.tif,dbovendry,150_cm,95% high prediction interval,100,Bulk density (oven dry),g cm-3
dbovendry_150_cm_l.tif,dbovendry,150_cm,95% low prediction interval,100,Bulk density (oven dry),g cm-3
dbovendry_150_cm_p.tif,dbovendry,150_cm,prediction,100,Bulk density (oven dry),g cm-3
dbovendry_150_cm_rpi.tif,dbovendry,150_cm,relative prediction interval,100,Bulk density (oven dry),g cm-3
dbovendry_30_cm_h.tif,dbovendry,30_cm,95% high prediction interval,100,Bulk density (oven dry),g cm-3
dbovendry_30_cm_l.tif,dbovendry,30_cm,95% low prediction interval,100,Bulk density (oven dry),g cm-3
dbovendry_30_cm_p.tif,dbovendry,30_cm,prediction,100,Bulk density (oven dry),g cm-3
dbovendry_30_cm_rpi.tif,dbovendry,30_cm,relative prediction interval,100,Bulk density (oven dry),g cm-3
dbovendry_5_cm_h.tif,dbovendry,5_cm,95% high prediction interval,100,Bulk density (oven dry),g cm-3
dbovendry_5_cm_l.tif,dbovendry,5_cm,95% low prediction interval,100,Bulk density (oven dry),g cm-3
dbovendry_5_cm_p.tif,dbovendry,5_cm,prediction,100,Bulk density (oven dry),g cm-3
dbovendry_5_cm_rpi.tif,dbovendry,5_cm,relative prediction interval,100,Bulk density (oven dry),g cm-3
dbovendry_60_cm_h.tif,dbovendry,60_cm,95% high prediction interval,100,Bulk density (oven dry),g cm-3
dbovendry_60_cm_l.tif,dbovendry,60_cm,95% low prediction interval,100,Bulk density (oven dry),g cm-3
dbovendry_60_cm_p.tif,dbovendry,60_cm,prediction,100,Bulk density (oven dry),g cm-3
dbovendry_60_cm_rpi.tif,dbovendry,60_cm,relative prediction interval,100,Bulk density (oven dry),g cm-3
ec_0_cm_h.tif,ec,0_cm,95% high prediction interval,10,Electrical Conductivity (sat. paste),dS m-1
ec_0_cm_l.tif,ec,0_cm,95% low prediction interval,10,Electrical Conductivity (sat. paste),dS m-1
ec_0_cm_p.tif,ec,0_cm,prediction,10,Electrical Conductivity (sat. paste),dS m-1
ec_0_cm_rpi.tif,ec,0_cm,relative prediction interval,100,Electrical Conductivity (sat. paste),dS m-1
ec_100_cm_h.tif,ec,100_cm,95% high prediction interval,10,Electrical Conductivity (sat. paste),dS m-1
ec_100_cm_l.tif,ec,100_cm,95% low prediction interval,10,Electrical Conductivity (sat. paste),dS m-1
ec_100_cm_p.tif,ec,100_cm,prediction,10,Electrical Conductivity (sat. paste),dS m-1
ec_100_cm_rpi.tif,ec,100_cm,relative prediction interval,100,Electrical Conductivity (sat. paste),dS m-1
ec_15_cm_h.tif,ec,15_cm,95% high prediction interval,10,Electrical Conductivity (sat. paste),dS m-1
ec_15_cm_l.tif,ec,15_cm,95% low prediction interval,10,Electrical Conductivity (sat. paste),dS m-1
ec_15_cm_p.tif,ec,15_cm,prediction,10,Electrical Conductivity (sat. paste),dS m-1
ec_15_cm_rpi.tif,ec,15_cm,relative prediction interval,100,Electrical Conductivity (sat. paste),dS m-1
ec_150_cm_h.tif,ec,150_cm,95% high prediction interval,10,Electrical Conductivity (sat. paste),dS m-1
ec_150_cm_l.tif,ec,150_cm,95% low prediction interval,10,Electrical Conductivity (sat. paste),dS m-1
ec_150_cm_p.tif,ec,150_cm,prediction,10,Electrical Conductivity (sat. paste),dS m-1
ec_150_cm_rpi.tif,ec,150_cm,relative prediction interval,100,Electrical Conductivity (sat. paste),dS m-1
ec_30_cm_h.tif,ec,30_cm,95% high prediction interval,10,Electrical Conductivity (sat. paste),dS m-1
ec_30_cm_l.tif,ec,30_cm,95% low prediction interval,10,Electrical Conductivity (sat. paste),dS m-1
ec_30_cm_p.tif,ec,30_cm,prediction,10,Electrical Conductivity (sat. paste),dS m-1
ec_30_cm_rpi.tif,ec,30_cm,relative prediction interval,100,Electrical Conductivity (sat. paste),dS m-1
ec_5_cm_h.tif,ec,5_cm,95% high prediction interval,10,Electrical Conductivity (sat. paste),dS m-1
ec_5_cm_l.tif,ec,5_cm,95% low prediction interval,10,Electrical Conductivity (sat. paste),dS m-1
ec_5_cm_p.tif,ec,5_cm,prediction,10,Electrical Conductivity (sat. paste),dS m-1
ec_5_cm_rpi.tif,ec,5_cm,relative prediction interval,100,Electrical Conductivity (sat. paste),dS m-1
ec_60_cm_h.tif,ec,60_cm,95% high prediction interval,10,Electrical Conductivity (sat. paste),dS m-1
ec_60_cm_l.tif,ec,60_cm,95% low prediction interval,10,Electrical Conductivity (sat. paste),dS m-1
ec_60_cm_p.tif,ec,60_cm,prediction,10,Electrical Conductivity (sat. paste),dS m-1
ec_60_cm_rpi.tif,ec,60_cm,relative prediction interval,100,Electrical Conductivity (sat. paste),dS m-1
ecec_0_cm_h.tif,ecec,0_cm,95% high prediction interval,10,Effective cation exchange capacity,meq/100g
ecec_0_cm_l.tif,ecec,0_cm,95% low prediction interval,10,Effective cation exchange capacity,meq/100g
ecec_0_cm_p.tif,ecec,0_cm,prediction,10,Effective cation exchange capacity,meq/100g
ecec_0_cm_rpi.tif,ecec,0_cm,relative prediction interval,100,Effective cation exchange capacity,meq/100g
ecec_100_cm_h.tif,ecec,100_cm,95% high prediction interval,10,Effective cation exchange capacity,meq/100g
ecec_100_cm_l.tif,ecec,100_cm,95% low prediction interval,10,Effective cation exchange capacity,meq/100g
ecec_100_cm_p.tif,ecec,100_cm,prediction,10,Effective cation exchange capacity,meq/100g
ecec_100_cm_rpi.tif,ecec,100_cm,relative prediction interval,100,Effective cation exchange capacity,meq/100g
ecec_15_cm_h.tif,ecec,15_cm,95% high prediction interval,10,Effective cation exchange capacity,meq/100g
ecec_15_cm_l.tif,ecec,15_cm,95% low prediction interval,10,Effective cation exchange capacity,meq/100g
ecec_15_cm_p.tif,ecec,15_cm,prediction,10,Effective cation exchange capacity,meq/100g
ecec_15_cm_rpi.tif,ecec,15_cm,relative prediction interval,100,Effective cation exchange capacity,meq/100g
ecec_150_cm_h.tif,ecec,150_cm,95% high prediction interval,10,Effective cation exchange capacity,meq/100g
ecec_150_cm_l.tif,ecec,150_cm,95% low prediction interval,10,Effective cation exchange capacity,meq/100g
ecec_150_cm_p.tif,ecec,150_cm,prediction,10,Effective cation exchange capacity,meq/100g
ecec_150_cm_rpi.tif,ecec,150_cm,relative prediction interval,100,Effective cation exchange capacity,meq/100g
